Unique Authors
Laura Ingalls Wilder
Margery Williams Bianco
William   Nicholson
Robert M. Pirsig
Sara Shepard
Don Freeman
Michael Pollan
Kate Atkinson
Kenneth Branagh
Thomas Hardy
Tim Dolin
Margaret R. Higonnet
Gustave Flaubert
Margaret Mauldon
Malcolm Bowie
Mark Overstall
Norton Juster
Jules Feiffer
Ned Vizzini
Vanessa Diffenbaugh
Klaus Janson
Lynn Varley
Nick Hornby
John Gray
Anthony Bourdain
Voltaire
Natalie Babbitt
Marie Milpois
P.D. Eastman
E.H. Gombrich
Marissa Meyer
Robert T. Kiyosaki
Lev Grossman
Tsugumi Ohba
Takeshi Obata
Libba Bray
Tammara Webber
Jeremy Tambling
Sherman Alexie
Ellen Forney
Mikhail Bulgakov
Katherine Tiernan OConnor
Diana Burgin
Ellendea Proffer
Ursula K. Le Guin
Kate DiCamillo
Chris Sheban
John Knowles
Miguel de Cervantes Saavedra
Roberto González Echevarría
John Rutherford
Robin Hobb
Beatrix Potter
Susanna Kaysen
Chelsea Handler
Richard Bach
Russell Munson
Robert Munsch
Sheila McGraw
Daniel James Brown
Christopher Tolkien
Ted Nasmith
Kate Morton
Edwin Muir
Willa Muir
Max Brod
Piper Kerman
Anne Perry
Daniel Kahneman
Judy Blume
Chris Bohjalian
Chris Van Allsburg
Jon Scieszka
Lane Smith
Paulo Coelho
Margaret Jull Costa
Sheryl Sandberg
Nell Scovell
Tahereh Mafi
Jostein Gaarder
Paulette Møller
Ray Bradbury
Jennifer Egan
Johanna Spyri
Angelo  Rinaldi
Beverly Cleary
Alex Flinn
Geoffrey Chaucer
Nevill Coghill
Harriet Beecher Stowe
Gaston Leroux
Alexander Teixeira de Mattos
Jonathan Franzen
Ally Carter
Aravind Adiga
Barack Obama
Judith Viorst
Ray Cruz
Howard Zinn
Justin Cronin
Celeste Ng
Isabel Allende
Magda Bogin
Ροζίτα Σώκου
Chimamanda Ngozi Adichie
Christopher McDougall
Gabrielle Zevin
Ludwig Bemelmans
Napoleon Hill
Susanna Clarke
Michael  Grant
Jess Walter
Matthew Quick
Jules Verne
Anthony Bonner
Maureen Howard
Richard Bachman
Michael Glencross
Brian W. Aldiss
Sharon Creech
Julie Powell
Neal Shusterman
Kate Egan
William Faulkner
Eckhart Tolle
Tite Kubo
Allie Brosh
Gregory David Roberts
Ned Dameron
Jeffery Deaver
Bernhard Schlink
Carol Brown Janeway
Bill Martin Jr.
Dan Simmons
William Peter Blatty
David Guterson
Alex Haley
Brian Bolland
Tim Sale
Ralph Ellison
Ishmael Beah
Robert C. OBrien
Melissa Bank
Hugh Howey
Christopher Moore
Jenny  Lawson
Garth Nix
Jennifer L. Armentrout
Bryan Lee OMalley
Julie Kagawa
Larry McMurtry
Mary Roach
Thomas Keneally
Malcolm X
Sam Kieth
Mike Dringenberg
Malcolm Jones III
Todd Klein
Karen  Berger
Dennis Lehane
Roma Gill
Erik Larson
Plato
Desmond Lee
Patti Smith
Phaidon Press
Jane Green
Walter J. Cobb
Rohinton Mistry
Bill Watterson
G.B. Trudeau
Kate Chopin
Justin Halpern
Irvine Welsh
Eric Lindor Fall
Miguel Ruiz
Jacob Grimm
Wilhelm Grimm
Josef Scharl
Padraic Colum
Joseph Campbell
Margaret Raine Hunt
James Stern
E.L. Konigsburg
Samantha Young
Francis Chan
Danae Yankoski
Chris Tomlin
Helen Keller
Jonathan Tropper
Seth GrahameSmith
Natsuki Takaya
Alethea Nibley
Athena Nibley
Brian Selznick
Christopher Hitchens
Bisco Hatori
Mary Kubica
Abbi Glines
Diana Wynne Jones
William Olivier Desmond
Henry David Thoreau
Julian Barnes
Sue Grafton
Sophocles
J.E. Thomas
Lisa See
Kenneth Grahame
Gillian Avery
Jenny Han
Marjane Satrapi
Mattias Ripa
E.M. Forster
Kody Keplinger
J.D. Robb
Masashi Kishimoto
Katy Bridges
Rachel Joyce
James Clavell
John Archambault
Lois Ehlert
Raina Telgemeier
George Orwell
Jacquelyn Mitchard
Louise Rennison
Robin Sloan
V.C. Andrews
Paul Kalanithi
Ellen Raskin
Pierce Brown
Brent Weeks
Sam McBratney
Anita Jeram
John D. MacDonald
Peter Benchley
Nicole Krauss
Astrid Lindgren
Lauren Child
Florence Lamborn
Nancy Seligsohn
Muriel Barbery
Alison Anderson
Doris Kearns Goodwin
Suzanne Toren
Stuart Gilbert
Susannah Cahalan
Melissa Marr
H.A. Rey
Michael Ende
Ralph Manheim
Roswitha Quadflieg
Sylvia Nasar
Upton Sinclair
Earl Lee
Kathleen DeGrave
Kelley Armstrong
Oliver Sacks
M.R. Carey
Crockett Johnson
Hiromu Arakawa
Akira Watanabe
Joan Didion
Lionel Shriver
Edith Wharton
Geraldine Brooks
Michael Connelly
Sylvain Reynard
Judi Barrett
Ron Barrett
Helen Simonson
Nora Roberts
Irma S. Rombauer
Marion Rombauer Becker
Ethan Becker
Joe Haldeman
Bettina Blanch Tyroller
Azar Nafisi
Joe Abercrombie
Annie Proulx
Marie Kondō
Cathy Hirano
Jennifer Niven
فرانک معنوی
Kathy Reichs
Michael Scott
Margaret Sayers Peden
Ellen Hopkins
Richard Matheson
Elizabeth Strout
James C. Collins
Samuel Beckett
J.A. Redmerski
Kimberly McCreight
Michael Cunningham
Alice Clayton
Susan Ee
Richard Russo
Jandy Nelson
Catherine Hardwicke
James Joyce
Seamus Deane
George Eliot
Michel Faber
S.C. Stephens
Scott Turow
Stacy Schiff
Thomas L. Friedman
Marcus Pfister
J. Alison James
Gretchen Rubin
Philip K. Dick
Vincent Bugliosi
Curt Gentry
Dante Alighieri
Anthony M. Esolen
Patricia Briggs
Melissa de la Cruz
TaNehisi Coates
John Milton
John      Leonard
Michael   Lewis
Frederick Forsyth
Jason Fried
David Heinemeier Hansson
Ilyana Kadushin
Matt Walters
Carol Rifka Brunt
Michelle Hodkin
Emmuska Orczy
Jon Stone
Michael J. Smollin
Leigh Bardugo
Carl Sagan
Zadie Smith
Chris Kyle
Scott McEwen
Jim DeFelice
Meg Wolitzer
Basil Creighton
Tess Gerritsen
Timothy Basil Ering
Steven L. Hopp
Camille Kingsolver
Richard A. Houser
Donald Miller
Brian K. Vaughan
Fiona Staples
Chad Harbach
Brandon Mull
Mildred D. Taylor
Constance Garnett
Alan Myers
Joseph Frank
Anna Brailovsky
Aziz Ansari
Eric Klinenberg
Katherine Applegate
Patricia Castelao
Sebastian Junger
Jim Fergus
Darrel Anderson
Salman Rushdie
Margaret Peterson Haddix
Elizabeth George Speare
Wilkie Collins
Matthew Sweet
James McBride
Karen Marie Moning
William Makepeace Thackeray
John Carey
Dominique Dill
Cynthia DAprix Sweeney
Bill Willingham
Lan Medina
Steve Leialoha
Craig Hamilton
James Jean
David    Allen
James Redfield
Huntley Fitzpatrick
Chetan Bhagat
Laurell K. Hamilton
Rosemarie Morgan
Shannon Russell
Mark Z. Danielewski
Willa Cather
Susan Beth Pfeffer
Jon Stewart
Ben Karlin
David Javerbaum
Rich Bloomquist
Steve Bodow
Tim Carvell
Eric Drysdale
J.R. Havlan
Scott Jacobson
Tom Johnson
Rob Kutner
Chris Regan
Jason Reich
Jason Ross
Stephen Colbert
Samantha Bee
Rob Corddry
Brendan Hay
Ed Helms
Don Piper
Cecil Murphey
Lao Tzu
GiaFu Feng
Jane English
Chungliang Al Huang
Rowena Pattee Kryder
Toinette Lippe
Jeffrey Archer
Hans Christian Andersen
Lily Owens
Arthur Rackham
Hans Richter
Friedrich Nietzsche
Walter Kaufmann
Elizabeth Gaskell
Alan Shelston
Jaycee Dugard
Amish Tripathi
Matsuri Hino
Tomo Kimura
Anne McCaffrey
Teodor Panasiński
Joanne Harris
Jay Anson
Michael Ondaatje
Jeri Johnson
Colum McCann
Harlan Coben
Rachel Hawkins
Austin Kleon
Neal Stephenson
Christina Lauren
Joyce Carol Oates
Scott McCloud
Jon Ronson
David Baldacci
Jonathan Stroud
Richard Dahm
Paul Dinello
Allison Silverman
Michael Brumm
Eric Drydale
Rob Dubbin
Glenn Eichler
Peter Grosz
Peter Gwinn
Jay Katsir
Laura Krafft
Frank Lesser
Tom Purcell
Leon Uris
Ursula Hegi
Raymond Chandler
Ellen DeGeneres
J. Lynn
Allen Mandelbaum
Eugenio Montale
Benjamin Hoff
Sarah Dunant
David Lagercrantz
George Goulding
Emma Cline
Shannon Hale
Isaac Marion
Everett H. Emerson
Elif Shafak
إليف شافاق
ارسلان فصیحی
محمد درويش
Hajime Isayama
Sheldon Drzka
Elena Ferrante
Ann Goldstein
Timothy Ferriss
Robin S. Sharma
Amor Towles
Larry Niven
Ruta Sepetys
Andrew Clements
Louise Erdrich
Madeleine LEngle
Hanya Yanagihara
Pia Guerra
José Marzán Jr.
Anne Tyler
Jennifer Bassett
Benjamin Alire Sáenz
Alfred Birnbaum
Alan R. Clarke
Johann David Wyss
Scott McKowen
Arthur Pober
Jennifer Probst
Watty Piper
Doris Hauman
George Hauman
Karen Joy Fowler
Alan Brennert
Frank E. Peretti
Jessica Sorensen
Lauren Groff
Janell Cannon
Nancy Horan
Lorelei King
Flora Rheta Schreiber
Rosamunde Pilcher
Ronald Holt
Bill OReilly
Martin Dugard
John Flanagan
Laurie Halse Anderson
Ira Levin
Peter Straub
Katherine Boo
P.L. Travers
Mary Shepard
Sandra Cisneros
David Benioff
Jeaniene Frost
Peter de Jonge
Frank Herbert
James S.A. Corey
Art Spiegelman
Ezra Jack Keats
Richard   Preston
Lynne Truss
Kim Harrison
Clement C. Moore
Jan Brett
Cynthia Hand
Lee Strobel
Carl Hiaasen
Virgil
Robert Fitzgerald
Katie McGarry
Kennilworthy Whisp
Harry Allard
James  Marshall
Jerry N. Uelsmann
Jennifer E. Smith
Tom Robbins
Jenna Blum
Beth Revis
M. Scott Peck
Gertrude Chandler Warner
L. Kate Deal
A.S.A. Harrison
Caitlin Moran
Keith Richards
Anita Shreve
Don DeLillo
Stephen E. Ambrose
Charles Darwin
Craig Thompson
David Wroblewski
Christina Schwarz
Kyle Freeman
Eiichirō Oda
Andy Nakatani
Peter S. Beagle
Angie Sage
Rudyard Kipling
Terry Hayes
Richard Carlson
Téa Obreht
Maria V. Snyder
Karin Slaughter
Yana Toboso
Robert Mighall
Emily Seife
Peter V. Brett
John Bunyan
Andrew R. MacAndrew
Ben Marcus
Carson McCullers
T.H. White
Christopher Paul Curtis
Alison Bechdel
Dan Ariely
أحمد مراد
Lynne Reid Banks
Jesse Andrews
Simon Winchester
Andrew Gross
Jasper Fforde
Faye Perozich
John Bolton
Daerick Gröss
Adam McCauley
Dalai Lama XIV
Howard C. Cutler
Anna Quindlen
L.J. Smith
Kevin Williamson
Julie Plec
Chuck Klosterman
Evelyn Waugh
Jessie Burton
Margaret Weis
Tracy Hickman
Julia Cameron
Joe Hill
Robert K. Massie
Marcus Luttrell
Patrick Robinson
Richard Wright
Veronica Rossi
Eric Ries
David Eddings
Roberto AguirreSacasa
Mike Perkins
Laura       Martin
William L. Shirer
Jeff Smith
Steve Hamaker
Paz Pruneda
Brian Jacques
Karl Marx
Friedrich Engels
Gareth Stedman Jones
Ruth Ware
James Fenimore Cooper
William Styron
Bruce H. Wilkinson
Karen Thompson Walker
Julia Child
Alex PrudHomme
Charles Bukowski
Wendelin Van Draanen
Travis Bradberry
Jean Greaves
Patrick Lencioni
Robert McCloskey
Douglas Preston
Lincoln Child
Nicola Yoon
David Yoon
George Bernard Shaw
Louis de Bernières
Adam Johnson
Blake Ferris
Anjali Singh
Chaim Potok
Irving Stone
שמואל שניצר
Jodi Ellen Malpas
W. Bruce Cameron
Sabaa Tahir
Helene Wecker
أحلام مستغانمي
Ahlam Mosteghanemi
Nicola Bradbury
Esphyr Slobodkina
Tamora Pierce
James Ellroy
Peter Glassman
Jung Chang
Guillermo del Toro
Chuck Hogan
Emily Dickinson
Thomas H. Johnson
Fred Gipson
Steve Martin
Frank Warren
Mary Norton
Beth Krush
Joe Krush
Alexandra Bracken
Norman Vincent Peale
Nina Bawden
Hiro Mashima
William Flanagan
Nate  Taylor
Solomon Northup
Nathaniel Philbrick
Ayaan Hirsi Ali
Nassim Nicholas Taleb
Aleksandr Solzhenitsyn
H.T. Willetts
Walter M. Miller Jr.
Colm Tóibín
Lauren DeStefano
J.D. Vance
Stephen Crane
Randall Munroe
Steven Erikson
Colson Whitehead
Cora Carmack
J.M. Coetzee
B.A. Paris
Michael Shaara
Sharon M. Draper
Amanda Hocking
Boris Pasternak
Max Hayward
Manya Harari
John Bayley
Jane Hamilton
Frank  Muller
C.J. Critt
O. Henry
Lisbeth Zwerger
Tom Wolfe
William S. Burroughs
James Grauerholz
Barry  Miles
Kelley Jones
Charles Vess
Colleen Doran
Steve Erickson
Lech Jęczmyk
Maureen Johnson
Lauren Myracle
Atul Gawande
Henrik Ibsen
Michael   Meyer
James A. Michener
Richard Yates
Rachel Cohn
Alex Garland
Beth Hoffman
Jenna Lamia
Raymond E. Feist
Jennifer Crusie
Nelson Mandela
Bryce Courtenay
Dashiell Hammett
Daniel Goleman
Munro Leaf
Robert Lawson
Walter Scott
Kiersten White
Adriana Trigiani
MacLeod Andrews
Andre Agassi
J.R. Moehringer
Anthony Horowitz
Dick Hill
Richard Ferrone
Daniel H. Pink
Jeph Loeb
Gregory Wright
Richard Starkings
JeanPaul Sartre
Lloyd Alexander
Hayden Carruth
John Eldredge
Peter Ackroyd
Ed Glinert
Doreen Cronin
Betsy Lewin
Kendare Blake
Avi
Robert Goolrick
Leif Enger
Janette Sebring Lowrey
Gustaf Tenggren
Maeve Binchy
Kate Jacobs
James Herriot
David Foster Wallace
Emma Chase
John Wyndham
Patrick deWitt
Marcelo Barbão
Shilpi Somaya Gowda
Montserrat Mira
Ron Hall
Denver Moore
Tracy Kidder
Mark  Lawrence
Nancy Farmer
D.H. Lawrence
Doris Lessing
Chester Brown
George S. Clason
Leigh Eddings
Goran Skrobonja
Sarah Addison Allen
Frederick Douglass
Greg Behrendt
Liz Tuccillo
Alev Lytle Croutier
Rachel Caine
Stasi Eldredge
Peter David
Robin Furth
Jae Lee
Richard Isanove
Ruth Ozeki
Tucker Max
Jay Crownover
Charlotte Connan de vries
Robert B. Cialdini
Stephen Marlowe
Louise Fitzhugh
Sarah Waters
Marian Keyes
Louise Penny
John Ajvide Lindqvist
Benjamin F. Fisher
Morgan Matson
Oswald Chambers
Andrea Cremer
Naomi Novik
Alfred Lansing
Blake Crouch
Rebecca Stead
Phyllis Reynolds Naylor
Rebecca Donovan
Sidney Sheldon
M.C. Escher
Bruce Brooks Pfeiffer
Donna Woolfolk Cross
Sebastian Faulks
Joshua Foer
Maxine Paetro
Norman Bridwell
Katy Evans
Anne Brontë
Stevie Davies
Walter Farley
Keith Ward
Tomie dePaola
R.L. Mathewson
David Bayles
Ted Orland
Hayden Herrera
C.C. Hunter
Mo Willems
Henry James
Patricia Crick
Gustave Doré
Charlotte Perkins Gilman
محمد صادق
Marilynne Robinson
Thomas Pynchon
David Alabort
Manuel Espín
Terry Brooks
AnnMarie MacDonald
Tracey GarvisGraves
Miep Gies
Alison Leslie Gold
John Scalzi
Clive Cussler
Michael Bond
Peggy Fortnum
Nelson DeMille
Rumiko Takahashi
David Seltzer
Tom Rob Smith
Amanda Hopkinson
Nick Caistor
Audrey Penn
Ruth E. Harper
Nancy M. Leak
John Elder Robison
Sherrilyn Kenyon
Gabrielle Charbonnet
Curtis Sittenfeld
Anthony Kiedis
Larry Sloman
Brigitte Walitzek
Gail Carriger
Lisa McMann
Siddhartha Mukherjee
Deepak Chopra
Anne Lamott
Kerstin Gier
Robin Cook
Louise L. Hay
Oliver Pötzsch
Lee Chadeayne
Patricia C. Wrede
Peter de Sève
John Sandford
Tami Hoag
Melanie Benjamin
David Shannon
William Strunk Jr.
R.A. Salvatore
Jerry Pournelle
Jo Nesbø
Don Bartlett
John  Williams
John McGahern
David Cote
Stephen Schwartz
Joan Marcus
Winnie Holzman
Garth Ennis
Steve Dillon
Joe R. Lansdale
Edmond Rostand
Eteel Lawson
Lowell Bair
Anne Fadiman
J. Kenner
Steve Parkhouse
Chris Bachalo
Michael Zulli
Clive Barker
Eleanor H. Porter
Anthony  Ryan
Howard Pyle
Lawrence Hill
Richard Francis Burton
A.S. Byatt
Tana French
Lily King
Louis Darling
Tracy Dockray
Carrie Ryan
Eleanor Catton
Piers Paul Read
Joyce Meyer
أثير عبدالله النشمي
Richard Castle
Amazon
Iain Banks
Marisha Pessl
Rob Lowe
Kevin Kwan
Robert Dugoni
Mike Mignola
John Byrne
Francine du Plessix Gray
Joachim Neugroschel
Shirley Jackson
Laura   Miller
John Jakes
Marcus Aurelius
Martin Hammond
Diskin Clay
Dave Barry
Ridley Pearson
Greg Call
Sigmund Freud
Mary Karr
Raine Miller
Jeff VanderMeer
Leonard Mlodinow
JanPhilipp Sendker
Kevin Wiliarty
Iain M. Banks
David J. Schwartz
Carlo Collodi
Monteiro Lobato
Robin LaFevers
Henry Miller
Brian Sibley
Alice Hoffman
Scott Lynch
John Howard Griffin
Jonathan Kellerman
Robert James Waller
Hilary Mantel
Mark Bittman
Wassily Kandinsky
Winston Groom
Justin OBrien
Carolyn G. Heilbrun
Italo Calvino
Patricia MacLachlan
يوسف زيدان
Brené Brown
Eben Alexander
A.J. Jacobs
Jean M. Auel
Katherine Dunn
Dudley Fitts
Elena Bono
Robert Penn Warren
Vince Flynn
Hannah Kent
Peter Mayle
Bagram Ibatoulline
Jojo Moyes
Martin Cruz Smith
Karen Hesse
Elizabeth Wein
N.K. Sandars
Anna Godbersen
Philip Roth
Gena Showalter
Elizabeth Berg
Yoshiki Nakamura
Paolo Bacigalupi
Richard Allen Cave
Ilona Andrews
Irène Némirovsky
Sandra Smith
Vincent van Gogh
Ronald de Leeuw
Mark Roskill
Arnold J. Pomerans
Grant Morrison
Hillary Jordan
Mark Bowden
V.E. Schwab
Victoria Schwab
David Grann
Trudi Canavan
Patricia McCormick
Jane Smiley
Ian Falconer
Kent Haruf
Daniel Clowes
Ivan Turgenev
George Reavy
Jane Costlow
Eliyahu M. Goldratt
Jeff Cox
Claudia Gray
Mark Waid
Alex Ross
Elliot S. Maggin
Henri Charrière
Chris Colfer
Brandon Dorman
David Ebershoff
Walter Dean Myers
Kevin Hearne
Kim Stanley Robinson
Elaine Hedges
Peter Thiel
Blake  Masters
Katharine Kroeber Wiley
Ron Chernow
Various
Nikolai Gogol
Robert A. Maguire
Elle Kennedy
Arlene Mosel
Blair Lent
Tina Reber
Penelope Douglas
Alison Weir
Yevgeny Zamyatin
Clarence Brown
Alan Paton
Brian Froud
Alan Lee
Aprilynne Pike
Cecily von Ziegesar
Yuval Noah Harari
M. Leighton
Henning Mankell
Steven T. Murray
Keith David
Anthony Heald
Shari Lapena
Ann Leckie
Allen Eskens
Eric Wilson
Jack Higgins
David Wong
Ann Druyan
Lucy Christopher
Stanisław Lem
Elizabeth Wurtzel
Daniel J. Levitin
Julia Quinn
Lorraine Hansberry
JeanDominique Bauby
Jeremy Leggatt
Chevy Stevens
Charles C. Mann
Kay Redfield Jamison
Sarah  Young
Edward Albee
Jacqueline Carey
Eric Metaxas
A.W. Tozer
Jacqueline Winspear
Dot Hutchison
R.K. Lilley
Alexandra Adornetto
Kiran Desai
Johann Wolfgang von Goethe
Burton Pike
Alexandra Fuller
Robin McKinley
Mark Zug
سعود السنعوسي
Saud Alsanousi
Rae Carson
Ann Aguirre
Dava Sobel
Neil Armstrong
Peter Salm
James W. Loewen
Gabriel Rodríguez
Alexandra Ripley
Blaine Harden
Sarah Thornton
Dave Ramsey
Richard Atwater
Florence Atwater
Fred Marcellino
George Saunders
Thomas J. Stanley
William D. Danko
Bob Dylan
George Selden
Oliver  Harris
Allen Ginsberg
Roger Fisher
William Ury
Bruce Patton
Kerry Lonsdale
Samantha Towle
Madeline Miller
Amy Schumer
KrishnaDwaipayana Vyasa
Simon Brodbeck
Juan Mascaró
Paul Auster
Pam Muñoz Ryan
